timestamp,participantId,itemId
3886,5.0,3850.0
3886,5.0,2003.0
3886,5.0,2003.0
3986,4.0,1055.0
3986,4.0,2003.0
4888,5.0,3340.0
5589,1.0,1055.0
5589,1.0,2003.0
6559,1.0,3340.0
9298,7.0,1103.0
9832,7.0,3340.0
10063,7.0,2003.0
10365,8.0,1056.0
10831,8.0,2003.0
10998,8.0,2003.0
11166,8.0,3340.0
12237,2.0,1101.0
12739,10.0,3858.0
12806,2.0,3340.0
13140,10.0,2003.0
13273,2.0,2003.0
13340,10.0,2003.0
14139,10.0,3340.0
19653,9.0,1055.0
19653,9.0,2003.0
20621,9.0,3340.0
33125,6.0,2033.0
33661,6.0,3340.0
203045,1.0,1036.0
204516,1.0,2031.0
211123,3.0,3802.0
236074,4.0,1042.0
236372,4.0,1042.0
239708,7.0,1036.0
240977,7.0,1036.0
241610,7.0,1001.0
242579,7.0,2055.0
244644,6.0,3057.0
247849,9.0,3134.0
249719,10.0,1029.0
250821,10.0,1001.0
286790,2.0,1036.0
288624,2.0,1001.0
308180,8.0,3802.0
325840,3.0,1082.0
352345,7.0,6670.0
353045,7.0,1042.0
400206,3.0,1052.0
410695,8.0,1026.0
425675,1.0,1036.0
425843,1.0,1036.0
426010,1.0,1036.0
441658,9.0,1036.0
442191,9.0,1036.0
443458,9.0,1001.0
460436,6.0,3047.0
461306,6.0,2055.0
464804,10.0,1028.0
469310,10.0,2055.0
474745,4.0,6670.0
475081,5.0,1082.0
476852,5.0,1052.0
477150,5.0,1027.0
479583,4.0,2003.0
483587,2.0,3134.0
485588,2.0,2031.0
486291,2.0,2055.0
504639,3.0,3108.0
528200,7.0,1043.0
531034,7.0,3364.0
531502,7.0,2055.0
541968,9.0,3133.0
559279,10.0,3023.0
565717,1.0,3133.0
569959,1.0,1001.0
572757,1.0,1029.0
597962,6.0,3133.0
610492,4.0,3006.0
616858,5.0,3802.0
620065,7.0,6672.0
626568,8.0,6655.0
628303,8.0,1001.0
650823,2.0,3133.0
655563,9.0,6691.0
657763,10.0,3111.0
658900,10.0,2055.0
659733,10.0,3364.0
664808,9.0,1029.0
673383,9.0,1036.0
716370,2.0,3142.0
723313,4.0,1018.0
749932,3.0,6653.0
750666,6.0,3067.0
755336,3.0,3020.0
771217,9.0,3134.0
772417,10.0,1033.0
774286,9.0,3047.0
774286,1.0,3071.0
789563,8.0,3020.0
852432,2.0,3047.0
853363,9.0,1037.0
854097,5.0,1026.0
855095,5.0,3364.0
855864,2.0,3364.0
861304,4.0,6672.0
864306,3.0,3145.0
868273,4.0,1028.0
870106,2.0,1036.0
873572,1.0,1001.0
890512,7.0,3047.0
892143,8.0,1058.0
892509,7.0,3057.0
904503,6.0,6632.0
973933,9.0,6676.0
985455,10.0,3001.0
986758,1.0,3047.0
990458,4.0,3057.0
991725,10.0,1029.0
1006386,3.0,3108.0
1007315,7.0,1036.0
1010613,7.0,3067.0
1073098,2.0,3133.0
1073702,6.0,6660.0
1073735,2.0,1028.0
1077501,1.0,1036.0
1085310,4.0,3067.0
1093958,8.0,4645.0
1095259,8.0,2055.0
1101535,5.0,6655.0
1101903,3.0,4628.0
1124477,9.0,3155.0
1125312,9.0,1036.0
1126781,10.0,1029.0
1142274,7.0,1036.0
1142408,7.0,1036.0
1149709,1.0,1036.0
1155551,6.0,1029.0
1162087,8.0,1052.0
1179970,10.0,1028.0
1197846,3.0,1052.0
1198546,4.0,1036.0
1224607,5.0,3108.0
1224640,1.0,3134.0
1225207,1.0,1036.0
1277659,2.0,3067.0
1278027,2.0,1036.0
1282032,2.0,3067.0
1282600,2.0,1036.0
1287807,4.0,3051.0
1302157,1.0,3133.0
1334833,9.0,3156.0
1339207,5.0,1052.0
1343575,9.0,1018.0
1345740,9.0,1038.0
1378376,8.0,3157.0
1379639,7.0,3078.0
1379739,3.0,3145.0
1380314,8.0,2055.0
1381018,3.0,1058.0
1381185,10.0,3023.0
1381882,10.0,3024.0
1383250,7.0,3067.0
1384114,7.0,2055.0
1384247,7.0,2055.0
1387289,4.0,3078.0
1393863,6.0,3068.0
1395496,6.0,1033.0
1417669,10.0,3050.0
1477908,9.0,1018.0
1486120,4.0,3086.0
1486855,2.0,3071.0
1487089,4.0,1042.0
1508579,3.0,3145.0
1510242,4.0,3363.0
1531686,1.0,3142.0
1554019,6.0,3066.0
1554831,6.0,1057.0
1565612,4.0,1043.0
1583427,5.0,3145.0
1584131,3.0,4645.0
1598152,1.0,1028.0
